 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.8502D+01  0.969683629402825D+00  0.103262345214781D-02    0.103126301780403D+01 -0.109819980994521D-02
  0.10000000  0.10000000  0.00000000    0.8611D+01  0.970497729996776D+00  0.481203453085496D-03    0.103039885951552D+01 -0.510904326644711D-03
  0.10000000  0.10000000  0.00000000    0.8720D+01  0.971598753060414D+00  0.155813574448097D-03    0.102923143029173D+01 -0.165056025013353D-03
  0.10000000  0.10000000  0.00000000    0.8830D+01  0.972744215289731D+00  0.200297794158634D-03    0.102801943397136D+01 -0.211679516300531D-03
  0.10000000  0.10000000  0.00000000    0.8941D+01  0.973440197307977D+00  0.660889747447254D-03    0.102728399939812D+01 -0.697445477181206D-03
  0.10000000  0.10000000  0.00000000    0.9052D+01  0.974213982551707D+00  0.301816623092201D-03    0.102646843704856D+01 -0.318005328325580D-03
  0.10000000  0.10000000  0.00000000    0.9164D+01  0.974770975744020D+00  0.107025929210780D-02    0.102588076519469D+01 -0.112637578350774D-02
  0.10000000  0.10000000  0.00000000    0.9277D+01  0.974836573397541D+00  0.768188093588226D-03    0.102581233236240D+01 -0.808357874007885D-03
  0.10000000  0.10000000  0.00000000    0.9390D+01  0.975438570997628D+00  0.151698594776383D-03    0.102517985811377D+01 -0.159434277557688D-03
  0.10000000  0.10000000  0.00000000    0.9504D+01  0.976312425001399D+00 -0.259620736576665D-15    0.102426228980807D+01  0.272371551685713D-15
  0.10000000  0.10000000  0.00000000    0.9619D+01  0.977061753877081D+00  0.123268966894478D-15    0.102347676186474D+01 -0.129124819976777D-15
  0.10000000  0.10000000  0.00000000    0.9734D+01  0.977714073870424D+00 -0.656235506245031D-16    0.102279390951319D+01  0.686492806978533D-16
  0.10000000  0.10000000  0.00000000    0.9850D+01  0.978322057593559D+00  0.818884601959518D-16    0.102215828850855D+01 -0.855576828436073D-16
  0.10000000  0.10000000  0.00000000    0.9967D+01  0.978898047293920D+00  0.857422372670552D-16    0.102155684421316D+01 -0.894787455756453D-16
